Precision,Recall,Threshold,Model
0.069,0.9677,0.0135,SVM
0.0694,0.9677,0.0135,SVM
0.0698,0.9677,0.0135,SVM
0.0702,0.9677,0.0135,SVM
0.0706,0.9677,0.0136,SVM
0.0711,0.9677,0.0136,SVM
0.0715,0.9677,0.0136,SVM
0.0721,0.9677,0.0136,SVM
0.0731,0.9677,0.0137,SVM
0.0735,0.9677,0.0137,SVM
0.074,0.9677,0.0137,SVM
0.0744,0.9677,0.0137,SVM
0.0749,0.9677,0.0137,SVM
0.0755,0.9677,0.0138,SVM
0.0759,0.9677,0.0138,SVM
0.0764,0.9677,0.0138,SVM
0.077,0.9677,0.0139,SVM
0.0775,0.9677,0.0139,SVM
0.078,0.9677,0.0139,SVM
0.0786,0.9677,0.014,SVM
0.0792,0.9677,0.014,SVM
0.0798,0.9677,0.014,SVM
0.0803,0.9677,0.014,SVM
0.0811,0.9677,0.014,SVM
0.0816,0.9677,0.0141,SVM
0.0822,0.9677,0.0141,SVM
0.0829,0.9677,0.0141,SVM
0.0834,0.9677,0.0141,SVM
0.084,0.9677,0.0141,SVM
0.0846,0.9677,0.0142,SVM
0.0852,0.9677,0.0142,SVM
0.0858,0.9677,0.0142,SVM
0.0865,0.9677,0.0142,SVM
0.0871,0.9677,0.0143,SVM
0.0877,0.9677,0.0143,SVM
0.0889,0.9677,0.0143,SVM
0.0897,0.9677,0.0143,SVM
0.0904,0.9677,0.0143,SVM
0.091,0.9677,0.0144,SVM
0.0917,0.9677,0.0144,SVM
0.0927,0.9677,0.0144,SVM
0.0935,0.9677,0.0145,SVM
0.0942,0.9677,0.0145,SVM
0.0949,0.9677,0.0146,SVM
0.0965,0.9677,0.0146,SVM
0.0974,0.9677,0.0146,SVM
0.0982,0.9677,0.0147,SVM
0.099,0.9677,0.0147,SVM
0.0998,0.9677,0.0147,SVM
0.1007,0.9677,0.0148,SVM
0.1019,0.9677,0.0148,SVM
0.1034,0.9677,0.0149,SVM
0.1045,0.9677,0.0149,SVM
0.1054,0.9677,0.0149,SVM
0.1064,0.9677,0.015,SVM
0.1075,0.9677,0.015,SVM
0.1085,0.9677,0.015,SVM
0.1095,0.9677,0.0151,SVM
0.1107,0.9677,0.0151,SVM
